BA                  [ba]  ba 
CHANGGE             [changge]  changge 
CHAYANGUANSE        [chayanguanse]  chayanguanse 
DAIJI               [daiji]  daiji 
DATAIJI             [dataiji]  dataiji 
DAZHAOHU            [dazhaohu]  dazhaohu 
DINGWEI             [dingwei]  dingwei 
ER                  [er]  er 
ERTINGBAFANG        [ertingbafang]  ertingbafang 
HOUTUI              [houtui]  houtui 
HOUZHUAN            [houzhuan]  houzhuan 
HUISHOU             [huishou]   huishou 
JIRENLIAN           [jirenlian]   jirenlian
JIU                 [jiu]   jiu
KAN                 [kan]   kan
LIU                 [liu]   liu
QI                  [qi]   qi
QIANJIN             [qianjin]   qianjin
QILI                [qili]   qili
SAN                 [san]   san
SHANQIYINGREN       [shanqiyingren]  shanqiyingren
SHI                 [shi]   shi
SHIBIE              [shibie]   shibie
SHOUZHUDAITU        [shouzhudaitu]   shouzhudaitu
SHUOHUA             [shuohua]   shuohua
SI                  [si]  si
TAITOU              [taitou]  taitou
TAOTAOBUJUE         [taotaobujue] taotaobujue
TIAOWU              [tiaowu] tiaowu
TING                [ting] ting
TING1               [ting1] ting1
TINGZHI             [tingzhi] tingzhi
WANGQIANZOU         [wangqianzou] wangqianzou
WENJIQIWU           [wenjiqiwu] wenjiqiwu
WU                  [wu] wu
XIADUN              [xiadun] xiadun
XIANGHOUTUI         [xianghoutui] xianghoutui
XIANGYOUZHUAN       [xiangyouzhuan] xiangyouzhuan
XIANGZUOZHUAN       [xiangzuozhuan] xiangzuozhuan
XINGZOU             [xingzou] xingzou
YI                  [yi] yi
YIYANBUFA           [yiyanbufa] yiyanbufa
YOUZHUAN            [youzhuan] youzhuan
ZHAN                [zhan] zhan
ZHAOSHENGYIN        [zhaoshengyin] zhaoshengyin
ZHUANTOU            [zhuantou] zhuantou
ZOU                 [zou] zou
ZUO                 [zuo] zuo
ZUOGUYOUPAN         [zuoguyoupan] zuoguyoupan
ZUOZHUAN            [zuozhuan] zuozhuan
START               []  fan
END                 []  fan
ARM                 []  arm_l
NECK                []  neck
