BA                  [ba] ba_arm_l
CHANGGE             [changge] changge_arm_l
CHAYANGUANSE        [chayanguanse] chayanguanse_arm_l
DAIJI               [daiji] daiji_arm_l
DATAIJI             [dataiji] dataiji_arm_l
DAZHAOHU            [dazhaohu] dazhaohu_arm_l
DINGWEI             [dingwei] dingwei_arm_l
ER                  [er] er_arm_l
ERTINGBAFANG        [ertingbafang] ertingbafang_arm_l
HOUTUI              [houtui] houtui_arm_l
HOUZHUAN            [houzhuan] houzhuan_arm_l
HUISHOU             [huishou] huishou_arm_l
JIRENLIAN           [jirenlian] jirenlian_arm_l
JIU                 [jiu] jiu_arm_l
KAN                 [kan] kan_arm_l
LIU                 [liu] liu_arm_l
QI                  [qi] qi_arm_l
QIANJIN             [qianjin] qianjin_arm_l
QILI                [qili] qili_arm_l
SAN                 [san] san_arm_l
SHANQIYINGREN       [shanqiyingren] shanqiyingren_arm_l
SHI                 [shi] shi_arm_l
SHIBIE              [shibie] shibie_arm_l
SHOUZHUDAITU        [shouzhudaitu] shouzhudaitu_arm_l
SHUOHUA             [shuohua] shuohua_arm_l
SI                  [si] si_arm_l
TAITOU              [taitou] taitou_arm_l
TAOTAOBUJUE         [taotaobujue] taotaobujue_arm_l
TIAOWU              [tiaowu] tiaowu_arm_l
TING                [ting] ting_arm_l
TING1               [ting1] ting1_arm_l
TINGZHI             [tingzhi] tingzhi_arm_l
WANGQIANZOU         [wangqianzou] wangqianzou_arm_l
WENJIQIWU           [wenjiqiwu] wenjiqiwu_arm_l
WU                  [wu] wu_arm_l
XIADUN              [xiadun] xiadun_arm_l
XIANGHOUTUI         [xianghoutui] xianghoutui_arm_l
XIANGYOUZHUAN       [xiangyouzhuan] xiangyouzhuan_arm_l
XIANGZUOZHUAN       [xiangzuozhuan] xiangzuozhuan_arm_l
XINGZOU             [xingzou] xingzou_arm_l
YI                  [yi] yi_arm_l
YIYANBUFA           [yiyanbufa] yiyanbufa_arm_l
YOUZHUAN            [youzhuan] youzhuan_arm_l
ZHAN                [zhan] zhan_arm_l
ZHAOSHENGYIN        [zhaoshengyin] zhaoshengyin_arm_l
ZHUANTOU            [zhuantou] zhuantou_arm_l
ZOU                 [zou] zou_arm_l
ZUO                 [zuo] zuo_arm_l
ZUOGUYOUPAN         [zuoguyoupan] zuoguyoupan_arm_l
ZUOZHUAN            [zuozhuan] zuozhuan_arm_l
START               []  fan
END                 []  fan
ARM                 []  arm_l
NECK                []  neck
