BA                  [ba] ba_neck
CHANGGE             [changge] changge_neck
CHAYANGUANSE        [chayanguanse] chayanguanse_neck
DAIJI               [daiji] daiji_neck
DATAIJI             [dataiji] dataiji_neck
DAZHAOHU            [dazhaohu] dazhaohu_neck
DINGWEI             [dingwei] dingwei_neck
ER                  [er] er_neck
ERTINGBAFANG        [ertingbafang] ertingbafang_neck
HOUTUI              [houtui] houtui_neck
HOUZHUAN            [houzhuan] houzhuan_neck
HUISHOU             [huishou] huishou_neck
JIRENLIAN           [jirenlian] jirenlian_neck
JIU                 [jiu] jiu_neck
KAN                 [kan] kan_neck
LIU                 [liu] liu_neck
QI                  [qi] qi_neck
QIANJIN             [qianjin] qianjin_neck
QILI                [qili] qili_neck
SAN                 [san] san_neck
SHANQIYINGREN       [shanqiyingren] shanqiyingren_neck
SHI                 [shi] shi_neck
SHIBIE              [shibie] shibie_neck
SHOUZHUDAITU        [shouzhudaitu] shouzhudaitu_neck
SHUOHUA             [shuohua] shuohua_neck
SI                  [si] si_neck
TAITOU              [taitou] taitou_neck
TAOTAOBUJUE         [taotaobujue] taotaobujue_neck
TIAOWU              [tiaowu] tiaowu_neck
TING                [ting] ting_neck
TING1               [ting1] ting1_neck
TINGZHI             [tingzhi] tingzhi_neck
WANGQIANZOU         [wangqianzou] wangqianzou_neck
WENJIQIWU           [wenjiqiwu] wenjiqiwu_neck
WU                  [wu] wu_neck
XIADUN              [xiadun] xiadun_neck
XIANGHOUTUI         [xianghoutui] xianghoutui_neck
XIANGYOUZHUAN       [xiangyouzhuan] xiangyouzhuan_neck
XIANGZUOZHUAN       [xiangzuozhuan] xiangzuozhuan_neck
XINGZOU             [xingzou] xingzou_neck
YI                  [yi] yi_neck
YIYANBUFA           [yiyanbufa] yiyanbufa_neck
YOUZHUAN            [youzhuan] youzhuan_neck
ZHAN                [zhan] zhan_neck
ZHAOSHENGYIN        [zhaoshengyin] zhaoshengyin_neck
ZHUANTOU            [zhuantou] zhuantou_neck
ZOU                 [zou] zou_neck
ZUO                 [zuo] zuo_neck
ZUOGUYOUPAN         [zuoguyoupan] zuoguyoupan_neck
ZUOZHUAN            [zuozhuan] zuozhuan_neck
START               []  fan
END                 []  fan
ARM                 []  arm_l
NECK                []  neck
